genotype,yield,Relative Humidity [%],Solar Radiation [W/m2],Rainfall [mm],Wind Speed [m/s],Wind Direction [degrees],Wind Gust [m/s],Soil Temperature [C],Soil Moisture [%VWC],Soil EC [mS/cm]
B73/TX779,19.39043995,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B73/TX779,29.19298515,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B73/TX779,31.01484537,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B73/TX779,37.38486852,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B73/TX779,,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/TX779,,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/TX779,,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/TX779,104.7580258,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/TX779,151.4177635,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/TX779,176.1539888,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/TX779,197.3109667,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/TX779,34.75668233,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B97/LH244,69.17842582,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B97/LH244,171.46641,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
BGEM-0039-N/LH244,91.23328402,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
BGEM-0039-N/LH244,156.3768099,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
BGEM-0063-N/LH244,111.0867451,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
BGEM-0063-N/LH244,139.4302025,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
BGEM-0089-N/LH244,81.54407496,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
BGEM-0089-N/LH244,132.2066252,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
BGEM-0124-N/LH244,68.64244083,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
BGEM-0124-N/LH244,166.101497,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
BGEM-0129-N/LH244,44.35540222,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
BGEM-0129-N/LH244,70.62860666,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
BGEM-0129-N/LH244,175.5468,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
CG119/CG108,142.1835406,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
